🐼丨熊猫频道,#genre#
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/ipanda1000_2/index.m3u8
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao01_2/index.m3u8
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao03_2/index.m3u8

📺丨直播中国,#genre#
北京密云古北水镇,http://178.157.60.73/proxy/698677872/698677872.m3u8
北京怀柔黄花城水长城,http://178.157.60.73/proxy/1266694830/1266694830.m3u8
湖南长沙果园镇田汉文化园,http://178.157.60.73/proxy/1933462135/1933462135.m3u8
湖南邵阳崀山风景名胜区,http://178.157.60.73/proxy/2086847518/2086847518.m3u8
江苏南京永宁张圩花海,http://178.157.60.73/proxy/25264739/25264739.m3u8
江苏徐州之夜,http://178.157.60.73/proxy/391073776/391073776.m3u8
江苏南京长江大桥,http://178.157.60.73/proxy/1764141811/1764141811.m3u8
江苏南京玄武湖,http://178.157.60.73/proxy/1985889373/1985889373.m3u8
南京南站,http://178.157.60.73/proxy/2072143452/2072143452.m3u8
南京紫金山,http://178.157.60.73/proxy/177566095/177566095.m3u8
南京情侣园,http://178.157.60.73/proxy/185079179/185079179.m3u8
南京长江大桥,http://178.157.60.73/proxy/1033254824/1033254824.m3u8
南京栖霞山,http://178.157.60.73/proxy/182710545/182710545.m3u8
南京紫峰眺望,http://178.157.60.73/proxy/1222351744/1222351744.m3u8
南京北极阁,http://178.157.60.73/proxy/188239043/188239043.m3u8
南京三汊河,http://178.157.60.73/proxy/189455176/189455176.m3u8
南京矿坑公园,http://178.157.60.73/proxy/1263482067/1263482067.m3u8
南京百家湖,http://178.157.60.73/proxy/179633244/179633244.m3u8
南京眼,http://178.157.60.73/proxy/1734263806/1734263806.m3u8
南京五马渡,http://178.157.60.73/proxy/188955121/188955121.m3u8
浙江舟山嵊泗县中心渔港,http://178.157.60.73/proxy/748822183/748822183.m3u8
浙江温州泰顺县廊桥文化园,http://178.157.60.73/proxy/1144314894/1144314894.m3u8
浙江舟山东极岛,http://178.157.60.73/proxy/1973269961/1973269961.m3u8
浙江嘉兴乌镇,http://178.157.60.73/proxy/463129046/463129046.m3u8
安徽黄山黟县,http://178.157.60.73/proxy/1759244982/1759244982.m3u8
西藏林芝米林岷山彩门民宿,http://178.157.60.73/proxy/751076408/751076408.m3u8
西藏林芝岷山错高民宿,http://178.157.60.73/proxy/680426319/680426319.m3u8
西藏日喀则珠穆朗玛峰,http://178.157.60.73/proxy/209923082/209923082.m3u8
新疆昌吉州天山天池风景区,http://178.157.60.73/proxy/1482666116/1482666116.m3u8
安徽黄山风景区,http://178.157.60.73/proxy/2125074276/2125074276.m3u8
四川成都安顺廊桥,http://178.157.60.73/proxy/1937762418/1937762418.m3u8
四川阿坝州黄龙五彩池,http://178.157.60.73/proxy/411064268/411064268.m3u8
四川乐山市峨眉山风景区,http://178.157.60.73/proxy/1575586364/1575586364.m3u8
重庆巫山长江画卷,http://178.157.60.73/proxy/923062896/923062896.m3u8
重庆李子坝站,http://178.157.60.73/proxy/1077381778/1077381778.m3u8

🌍丨央视频道,#genre#
CCTV-1高清,http://117.44.1.97:20000/hls/1/index.m3u8
CCTV1高清,http://113.240.139.144:8082/hls/1/index.m3u8
CCTV1,http://223.151.51.74:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://222.241.154.37:9901/tsfile/live/23001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://124.228.160.94:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://223.159.11.138:8099/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://124.129.235.34:9901/tsfile/live/0001_1.m3u8
CCTV-1综合,http://222.89.16.225:808/hls/1/index.m3u8
CCTV1-综合 高清,http://219.159.194.120:8181/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-2财经,http://222.89.16.225:808/hls/2/index.m3u8
CCTV2高清,http://113.240.139.144:8082/hls/2/index.m3u8
CCTV2,http://223.151.51.74:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://124.228.160.94:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://223.159.11.138:8099/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经 高清,http://219.159.194.120:8181/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-3综艺,http://222.89.16.225:808/hls/3/index.m3u8
CCTV3高清,http://113.240.139.144:8082/hls/3/index.m3u8
CCTV3,http://223.151.51.74:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://222.241.154.37:9901/tsfile/live/23003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://124.228.160.94:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://223.159.11.138:8099/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4中文国际,http://222.89.16.225:808/hls/4/index.m3u8
CCTV4高清,http://113.240.139.144:8082/hls/4/index.m3u8
CCTV4-国际 高清,http://219.159.194.120:8181/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://223.151.51.74:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://222.241.154.37:9901/tsfile/live/23004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://124.228.160.94:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://223.159.11.138:8099/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+体育赛事,http://222.89.16.225:808/hls/18/index.m3u8
CCTV-5体育,http://222.89.16.225:808/hls/5/index.m3u8
CCTV5+高清,http://117.44.1.97:20000/hls/2/index.m3u8
CCTV5高清,http://113.240.139.144:8082/hls/5/index.m3u8
CCTV5,http://223.151.51.74:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://222.241.154.37:9901/tsfile/live/23005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://124.228.160.94:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://223.159.11.138:8099/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://113.218.218.5:8001/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://222.241.154.37:9901/tsfile/live/23018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://124.228.160.94:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://222.89.16.225:808/hls/6/index.m3u8
CCTV6高清,http://113.240.139.144:8082/hls/7/index.m3u8
CCTV6,http://223.151.51.74:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://222.241.154.37:9901/tsfile/live/23006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://124.228.160.94:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7高清,http://113.240.139.144:8082/hls/8/index.m3u8
CCTV-7,http://117.44.1.97:20000/hls/29/index.m3u8
CCTV-7国防军事,http://222.89.16.225:808/hls/7/index.m3u8
CCTV7-军农 高清,http://219.159.194.120:8181/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-8高清,http://113.240.139.144:8082/hls/9/index.m3u8
CCTV-8电视剧,http://222.89.16.225:808/hls/8/index.m3u8
